label,family,topology_class,real_dimension,chi,sample,defect_count,index_sum,gamma_indexed_sum,remainder,lambda3,lambda5,width_theory,width_numerical,discontinuous
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,85,3,3.0,1.1106138265544205,0.0017598041126558046,-1.1088540224417647,1.041904529553251,0.2950263695495432,0.2946542287189848,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,86,3,3.0,0.9677144428519611,0.004127176631948801,-0.9635872662200122,0.8548957405303813,0.2715244607036265,0.27130004442050437,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,87,3,3.0,1.2539124407121558,-0.0012761416743439136,-1.2551885823864997,0.8413700928960706,0.4681347693053913,0.4673416176154746,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,88,3,3.0,1.2273636958199383,0.003576079949263867,-1.2237876158706744,1.0656065767999434,0.3513623511164756,0.3510321234277593,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,89,3,3.0,1.0082280017750531,-0.0006371280245972201,-1.0088651297996503,0.8859126000501714,0.28722044648310235,0.28695970213157523,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,90,3,3.0,1.0728074521576576,0.0017950333405382126,-1.0710124188171193,0.851901671988655,0.33661971767904114,0.3364471009668738,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,91,3,3.0,1.2403435688652438,-0.0016987076383329562,-1.2420422765035768,1.084573387281828,0.35559350679082324,0.3550568311621548,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,92,3,3.0,0.9919272109044219,-0.004360664516505829,-0.9962878754209278,0.7503283508464662,0.33071838802005094,0.33024789799155224,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,93,3,3.0,1.1211139391163107,0.00015813377896430452,-1.1209558053373465,1.0170634318822591,0.30886517942987146,0.3086487576616688,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,94,3,3.0,1.0707502512881608,-0.001484467807815665,-1.0722347190959765,1.4341002725197953,0.2004196141066834,0.20034592791162628,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,95,3,3.0,1.0848468408500112,-0.0036373791287982638,-1.0884842199788094,1.0614030971865074,0.2790640757228465,0.27867952728577383,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,96,3,3.0,1.130746336844145,0.0008810999032052105,-1.1298652369409399,1.439207308638163,0.22175322588786278,0.22170238289183744,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,97,3,3.0,0.9916883465131836,-0.001450314522102477,-0.993138661035286,1.2090191460963708,0.20395136074303757,0.20384527952045636,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,98,3,3.0,1.4922635585248794,0.002071546120386165,-1.4901920124044932,0.9992570261954322,0.5555808404693267,0.5548337053108642,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,99,3,3.0,1.1703682010732976,-9.059551874472514e-05,-1.1704587965920423,1.3299084219918154,0.2575316036550604,0.25733587813787895,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,100,3,3.0,1.0668933850446822,-0.002945501190831317,-1.0698388862355135,0.775381071231613,0.3690299147629551,0.3682833294470413,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,101,3,3.0,1.25551188394759,-0.0008958228458568424,-1.256407706793447,0.893530769493898,0.4416636728089609,0.4406067037726671,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,102,3,3.0,0.9992331568962076,-0.0009779979514947265,-1.0002111548477024,0.9084978076827849,0.27529575355648145,0.2750947052150173,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,103,3,3.0,1.2099053372622006,3.5299603745321934e-05,-1.2098700376584552,0.9295379644699073,0.3936863162061468,0.39342220405105116,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,104,3,3.0,1.1450841292992133,0.0003503159920033534,-1.14473381330721,1.130734263448974,0.2897266726781205,0.28952947283921454,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,105,3,3.0,0.9750957690825846,-0.0003093809934775013,-0.9754051500760621,1.0131595168889684,0.23476441540921988,0.23460078185478545,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,106,3,3.0,1.1131364882851442,-0.0001298697039907149,-1.1132663579891349,0.9460279468663526,0.32751727576750966,0.3270803869225573,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,107,3,3.0,1.1032321726949161,-0.0002687261013299117,-1.103500898796246,0.8045426377080642,0.37838710360742306,0.37799475049715975,True
$\mathbb{CP}^2$,Complex projective space,"$\chi(M)\ne0$, sign condition",4,3,108,3,3.0,0.937419935289951,-0.0015401317137208877,-0.938960067003672,1.2186106489501065,0.1808711437461838,0.18077371797789363,True
