case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,11,182040,0.14713300312457583,0.8664391896363735,0.14228910235299186,0.08429943865289377
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,12,182041,0.13480844305209472,0.8350390231223112,0.12814517195942396,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,13,182042,0.12391771164184551,0.8477818055357855,0.1216095139015734,0.08
$S^2\times S^2$,1,2,2,4,4,True,discontinuous test,0.5,14,182043,0.12434747709672356,0.8388510467957996,0.1216095139015734,0.08
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,0,177029,0.08223097934167789,0.10897364395217077,0.4053830196679283,0.34646667348753685
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,1,177030,0.06903857104567901,0.09857003396393349,0.2961129352084114,0.22792076861220262
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,2,177031,0.05098220243074575,0.129994299009427,0.4998093038246843,0.47431803752114543
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,3,177032,0.05405282975247894,0.06805483208753402,0.4998093038246843,0.22792076861220262
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,4,177033,0.08859465776556863,0.07489033561413247,0.47431803752114543,0.2666784903003767
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,5,177034,0.06219678439777815,0.13451847337097855,0.2666784903003767,0.22792076861220262
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,6,177035,0.056825403493732496,0.13701658221722035,0.24016991064180943,0.21629635713298206
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,7,177036,0.048886415826030094,0.1146360367818193,0.5266705468239311,0.3287961856202883
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,8,177037,0.046620889525005926,0.08908794689909333,0.12160951390157337,0.3847076812334269
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,9,177038,0.06224794016697434,0.09206314835889644,0.2666784903003767,0.25307735810525234
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,10,177039,0.05668416225598655,0.11610876048238616,0.2810105879140365,0.22792076861220262
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,11,177040,0.04623104830708143,0.10634723555687156,0.18486092339221216,0.18486092339221216
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,12,177041,0.06134016082956911,0.11146196496790686,0.5549753931533746,0.4053830196679283
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,13,177042,0.04554095949293435,0.1174028424644665,0.36508682608668463,0.25307735810525234
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.35,14,177043,0.058130199062095544,0.0816625924450454,0.6842463828875655,0.2961129352084114
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,0,192029,0.0535479704435699,0.07020292252642929,0.6162303995721092,0.2530773581052524
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,1,192030,0.07644994964815766,0.06105712238163934,0.29611293520841153,0.21629635713298206
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,2,192031,0.04551616102198275,0.057812102411894245,0.7210198247211845,0.19479590088523846
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,3,192032,0.04794559848064469,0.11038134037741233,0.09863448236862134,0.29611293520841153
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,4,192033,0.07669332861374462,0.07327670963754951,0.5266705468239313,0.36508682608668475
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,5,192034,0.054941868169741725,0.13230587306660757,0.22792076861220267,0.3120269276991222
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,6,192035,0.09344673449336655,0.10744361341356384,0.5266705468239313,0.3464666734875369
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,7,192036,0.05709304915800523,0.058266564518829805,0.6842463828875656,0.22792076861220267
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,8,192037,0.07005399095052145,0.08510272758698528,0.5549753931533749,0.5549753931533749
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,9,192038,0.06175872944597138,0.07163518360183463,0.5549753931533749,0.4998093038246844
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,10,192039,0.06359999341393366,0.09559569772965172,0.36508682608668475,0.22792076861220267
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,11,192040,0.04860328118715268,0.10167475472287886,0.8006018648191767,0.22792076861220267
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,12,192041,0.04443375267751304,0.097460114188752,0.759769581020046,0.17543264946603912
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,13,192042,0.05952654779549321,0.09542209176398059,0.6842463828875656,0.22792076861220267
$S^3\times S^5$,2,3,5,8,0,False,continuous control,0.5,14,192043,0.04749541406910465,0.06959243863492626,0.36508682608668475,0.5848014263624813
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,0,187029,0.12026630885277056,0.8623815522195024,0.15799415880319684,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,1,187030,0.08543924473764919,0.835358443161656,0.13503207577822463,0.08
$S^2\times S^4$,3,2,4,6,4,True,discontinuous test,0.35,2,187031,0.09029261053707627,0.841232789675424,0.14228910235299183,0.08
