manifold,manifold_dimension,chi,delta,seed_index,seed,cubic_slope_fit,quintic_slope_fit,fit_r2,n_fit
$S^3$,3,0,0.35,10,156033,2.5929889651236695,-0.7425241951470625,0.9632839234395492,71
$S^3$,3,0,0.35,11,156034,2.5417048462860676,-1.0579232473181115,0.9774838064687009,69
$S^3$,3,0,0.35,12,156035,2.519681641419674,-0.685377536629001,0.9777210012245631,70
$S^3$,3,0,0.35,13,156036,2.9468349826217977,-1.7018546036339686,0.9662556712791887,72
$S^3$,3,0,0.35,14,156037,2.798989551892966,-1.2648217237961699,0.9777786596047405,70
$S^3$,3,0,0.5,0,171023,2.8269438166065624,-1.5798369396073513,0.97693435063312,70
$S^3$,3,0,0.5,1,171024,2.8297107368693806,-1.6408217119609176,0.9678712302503706,68
$S^3$,3,0,0.5,2,171025,2.3714174304440414,-0.9665727809346103,0.9651470538891181,69
$S^3$,3,0,0.5,3,171026,2.1886980119176322,-0.06941023014847916,0.9841582507497002,70
$S^3$,3,0,0.5,4,171027,2.5661848319156007,-1.0229576208223317,0.9727315446890115,69
$S^3$,3,0,0.5,5,171028,2.5138415781956134,-1.068691725942449,0.9760244322158651,66
$S^3$,3,0,0.5,6,171029,2.582737730383913,-1.115826891430769,0.9771599509504343,71
$S^3$,3,0,0.5,7,171030,2.5620267007462783,-1.4203746879210937,0.9681939823140537,70
$S^3$,3,0,0.5,8,171031,2.767872240238753,-1.6785790232581281,0.9758565780858277,67
$S^3$,3,0,0.5,9,171032,2.0889323914052773,0.08678770644993364,0.9719471283243442,69
$S^3$,3,0,0.5,10,171033,2.6825936897925584,-1.4838784971147763,0.9740581283787412,67
$S^3$,3,0,0.5,11,171034,2.8738263581878947,-1.720702637268616,0.9769726796112187,71
$S^3$,3,0,0.5,12,171035,2.0972825386942917,0.15356696389483085,0.9782749453449541,71
$S^3$,3,0,0.5,13,171036,2.38292111885519,-0.8363126652352809,0.9728836386605745,69
$S^3$,3,0,0.5,14,171037,2.6739853769737367,-1.4342857618121825,0.9677275267012734,68
$S^4$,4,2,0.35,0,166023,0.12016181964145416,-0.1584701171632099,0.9442038996523249,8
