ambient_dimension,manifold_dimension,Manifold dimension,N,seed,kappa_sample,kappa_theory,kappa_ratio,N_inv_sqrt
8,7,D = 7,1024,11,0.8761809436972865,0.875,1.001349649939756,0.03125
8,7,D = 7,1024,12,0.8830534074465116,0.875,1.0092038942245847,0.03125
8,7,D = 7,1024,13,0.8769631865578879,0.875,1.0022436417804432,0.03125
8,7,D = 7,1024,14,0.8764102757097658,0.875,1.0016117436683039,0.03125
8,7,D = 7,1024,15,0.8737814446252417,0.875,0.9986073652859905,0.03125
8,7,D = 7,1024,16,0.8769965794403245,0.875,1.0022818050746565,0.03125
8,7,D = 7,1024,17,0.8791190185663026,0.875,1.00470744979006,0.03125
8,7,D = 7,1024,18,0.8738113762296589,0.875,0.9986415728338959,0.03125
8,7,D = 7,1024,19,0.8715256705811352,0.875,0.9960293378070116,0.03125
8,7,D = 7,1024,20,0.8761801992105904,0.875,1.0013487990978176,0.03125
8,7,D = 7,1024,21,0.8764037038392214,0.875,1.0016042329591102,0.03125
8,7,D = 7,1024,22,0.8690370141612304,0.875,0.9931851590414061,0.03125
8,7,D = 7,1024,23,0.8846200269705286,0.875,1.0109943165377469,0.03125
8,7,D = 7,1024,24,0.8758084639773105,0.875,1.000923958831212,0.03125
8,7,D = 7,1024,25,0.8708934370253743,0.875,0.9953067851718563,0.03125
8,7,D = 7,1024,26,0.8739989744305859,0.875,0.9988559707778125,0.03125
8,7,D = 7,1024,27,0.8672330274077005,0.875,0.9911234598945148,0.03125
8,7,D = 7,1024,28,0.8688072499970038,0.875,0.9929225714251472,0.03125
8,7,D = 7,1024,29,0.8800073712078378,0.875,1.0057227099518147,0.03125
8,7,D = 7,2048,0,0.8755137304503839,0.875,1.0005871205147245,0.022097086912079608
8,7,D = 7,2048,1,0.8729853020067213,0.875,0.9976974880076815,0.022097086912079608
8,7,D = 7,2048,2,0.8817156337793162,0.875,1.0076750100335041,0.022097086912079608
8,7,D = 7,2048,3,0.8728720705506787,0.875,0.9975680806293471,0.022097086912079608
8,7,D = 7,2048,4,0.8823095862311081,0.875,1.008353812835552,0.022097086912079608
8,7,D = 7,2048,5,0.8788429380131293,0.875,1.004391929157862,0.022097086912079608
8,7,D = 7,2048,6,0.8732685061753429,0.875,0.9980211499146776,0.022097086912079608
8,7,D = 7,2048,7,0.8770050531586591,0.875,1.0022914893241819,0.022097086912079608
8,7,D = 7,2048,8,0.8799722935189382,0.875,1.005682621164501,0.022097086912079608
8,7,D = 7,2048,9,0.8809523689369116,0.875,1.0068027073564705,0.022097086912079608
8,7,D = 7,2048,10,0.8742581893039351,0.875,0.9991522163473544,0.022097086912079608
8,7,D = 7,2048,11,0.8756005278350569,0.875,1.0006863175257794,0.022097086912079608
8,7,D = 7,2048,12,0.8744133713803852,0.875,0.9993295672918688,0.022097086912079608
8,7,D = 7,2048,13,0.8758766897743897,0.875,1.001001931170731,0.022097086912079608
8,7,D = 7,2048,14,0.8728755666344432,0.875,0.9975720761536494,0.022097086912079608
8,7,D = 7,2048,15,0.8695822173871741,0.875,0.9938082484424847,0.022097086912079608
8,7,D = 7,2048,16,0.8720927123229557,0.875,0.9966773855119494,0.022097086912079608
8,7,D = 7,2048,17,0.8749263395362221,0.875,0.9999158166128252,0.022097086912079608
8,7,D = 7,2048,18,0.8797271236924666,0.875,1.0054024270771047,0.022097086912079608
8,7,D = 7,2048,19,0.8707633138851069,0.875,0.9951580730115507,0.022097086912079608
8,7,D = 7,2048,20,0.8775903586067801,0.875,1.00296040983632,0.022097086912079608
8,7,D = 7,2048,21,0.87947523085108,0.875,1.0051145495440914,0.022097086912079608
8,7,D = 7,2048,22,0.8783839725657122,0.875,1.0038673972179568,0.022097086912079608
8,7,D = 7,2048,23,0.8743766810775953,0.875,0.9992876355172517,0.022097086912079608
8,7,D = 7,2048,24,0.8769188211044886,0.875,1.0021929384051298,0.022097086912079608
8,7,D = 7,2048,25,0.8699410970056556,0.875,0.9942183965778921,0.022097086912079608
8,7,D = 7,2048,26,0.8889405729569156,0.875,1.0159320833793322,0.022097086912079608
8,7,D = 7,2048,27,0.8772498902676248,0.875,1.0025713031629997,0.022097086912079608
8,7,D = 7,2048,28,0.8775762872944163,0.875,1.0029443283364758,0.022097086912079608
8,7,D = 7,2048,29,0.8766991527636661,0.875,1.0019418888727611,0.022097086912079608
8,7,D = 7,4096,0,0.8770196208918083,0.875,1.0023081381620667,0.015625
8,7,D = 7,4096,1,0.8740588995459153,0.875,0.9989244566239032,0.015625
8,7,D = 7,4096,2,0.8717967123219663,0.875,0.9963390997965329,0.015625
8,7,D = 7,4096,3,0.8786061551276385,0.875,1.0041213201458725,0.015625
8,7,D = 7,4096,4,0.8734147894085289,0.875,0.9981883307526045,0.015625
8,7,D = 7,4096,5,0.8755575744154431,0.875,1.0006372279033635,0.015625
8,7,D = 7,4096,6,0.8709535287989266,0.875,0.9953754614844875,0.015625
8,7,D = 7,4096,7,0.8716365513513615,0.875,0.9961560586872703,0.015625
8,7,D = 7,4096,8,0.8749472874702416,0.875,0.9999397571088476,0.015625
8,7,D = 7,4096,9,0.8743571285220232,0.875,0.999265289739455,0.015625
8,7,D = 7,4096,10,0.8762702897643092,0.875,1.0014517597306392,0.015625
8,7,D = 7,4096,11,0.8768380125759341,0.875,1.0021005858010674,0.015625
8,7,D = 7,4096,12,0.8747036704241642,0.875,0.9996613376276162,0.015625
8,7,D = 7,4096,13,0.8774658281898258,0.875,1.0028180893598009,0.015625
8,7,D = 7,4096,14,0.8750267111311909,0.875,1.0000305270070753,0.015625
8,7,D = 7,4096,15,0.8786141716538467,0.875,1.0041304818901104,0.015625
8,7,D = 7,4096,16,0.8750968088123201,0.875,1.0001106386426515,0.015625
8,7,D = 7,4096,17,0.8787857231049874,0.875,1.0043265406914141,0.015625
8,7,D = 7,4096,18,0.8742959334529737,0.875,0.9991953525176843,0.015625
8,7,D = 7,4096,19,0.8724294881425283,0.875,0.9970622721628895,0.015625
8,7,D = 7,4096,20,0.8771694187008131,0.875,1.0024793356580721,0.015625
8,7,D = 7,4096,21,0.874356673978147,0.875,0.9992647702607395,0.015625
8,7,D = 7,4096,22,0.8733358972275865,0.875,0.9980981682600989,0.015625
8,7,D = 7,4096,23,0.8800393115789552,0.875,1.0057592132330917,0.015625
8,7,D = 7,4096,24,0.8753643409149461,0.875,1.0004163896170812,0.015625
8,7,D = 7,4096,25,0.8757965477685349,0.875,1.000910340306897,0.015625
8,7,D = 7,4096,26,0.8707615565491259,0.875,0.9951560646275724,0.015625
8,7,D = 7,4096,27,0.8747063420616099,0.875,0.9996643909275542,0.015625
8,7,D = 7,4096,28,0.8718809742756914,0.875,0.9964353991722188,0.015625
8,7,D = 7,4096,29,0.8761653990457572,0.875,1.0013318846237225,0.015625
8,7,D = 7,8192,0,0.8757818233825388,0.875,1.0008935124371872,0.011048543456039804
8,7,D = 7,8192,1,0.8756383312994622,0.875,1.0007295214850997,0.011048543456039804
8,7,D = 7,8192,2,0.8750359079810694,0.875,1.0000410376926507,0.011048543456039804
8,7,D = 7,8192,3,0.8751684196173943,0.875,1.0001924795627364,0.011048543456039804
8,7,D = 7,8192,4,0.8751225075093165,0.875,1.000140008582076,0.011048543456039804
8,7,D = 7,8192,5,0.8759597525993575,0.875,1.0010968601135515,0.011048543456039804
8,7,D = 7,8192,6,0.8788588002740667,0.875,1.0044100574560761,0.011048543456039804
8,7,D = 7,8192,7,0.872385648149554,0.875,0.997012169313776,0.011048543456039804
8,7,D = 7,8192,8,0.8768979860035405,0.875,1.0021691268611892,0.011048543456039804
8,7,D = 7,8192,9,0.8730239366548103,0.875,0.9977416418912117,0.011048543456039804
8,7,D = 7,8192,10,0.8740568562585338,0.875,0.9989221214383244,0.011048543456039804
8,7,D = 7,8192,11,0.8755039746225346,0.875,1.0005759709971824,0.011048543456039804
8,7,D = 7,8192,12,0.8756952570858099,0.875,1.0007945795266397,0.011048543456039804
8,7,D = 7,8192,13,0.8713355977189143,0.875,0.9958121116787593,0.011048543456039804
8,7,D = 7,8192,14,0.8733947020417292,0.875,0.9981653737619762,0.011048543456039804
8,7,D = 7,8192,15,0.876130167934122,0.875,1.0012916204961395,0.011048543456039804
8,7,D = 7,8192,16,0.8717006810688822,0.875,0.9962293497930083,0.011048543456039804
8,7,D = 7,8192,17,0.8781083114962919,0.875,1.0035523559957622,0.011048543456039804
8,7,D = 7,8192,18,0.8751829976211136,0.875,1.0002091401384157,0.011048543456039804
8,7,D = 7,8192,19,0.8759988871371382,0.875,1.0011415852995866,0.011048543456039804
8,7,D = 7,8192,20,0.8743720215979918,0.875,0.9992823103977049,0.011048543456039804
8,7,D = 7,8192,21,0.875121503284585,0.875,1.0001388608966686,0.011048543456039804
8,7,D = 7,8192,22,0.8768378573335287,0.875,1.0021004083811758,0.011048543456039804
8,7,D = 7,8192,23,0.8732310780670881,0.875,0.997978374933815,0.011048543456039804
8,7,D = 7,8192,24,0.8773686107103144,0.875,1.0027069836689306,0.011048543456039804
8,7,D = 7,8192,25,0.8745868351960303,0.875,0.9995278116526061,0.011048543456039804
8,7,D = 7,8192,26,0.8760635127285001,0.875,1.0012154431182858,0.011048543456039804
8,7,D = 7,8192,27,0.8762395165604074,0.875,1.0014165903547514,0.011048543456039804
8,7,D = 7,8192,28,0.8738196179578828,0.875,0.998650991951866,0.011048543456039804
8,7,D = 7,8192,29,0.8755740585243426,0.875,1.000656066884963,0.011048543456039804
8,7,D = 7,16384,0,0.8736275363121052,0.875,0.9984314700709774,0.0078125
8,7,D = 7,16384,1,0.8762483597602961,0.875,1.0014266968689098,0.0078125
8,7,D = 7,16384,2,0.8757432090159389,0.875,1.0008493817325017,0.0078125
8,7,D = 7,16384,3,0.8742561879596087,0.875,0.9991499290966956,0.0078125
8,7,D = 7,16384,4,0.8773553104338301,0.875,1.0026917833529487,0.0078125
8,7,D = 7,16384,5,0.8728361449291725,0.875,0.9975270227761971,0.0078125
8,7,D = 7,16384,6,0.8750857943330989,0.875,1.0000980506663988,0.0078125
8,7,D = 7,16384,7,0.8749262816022927,0.875,0.9999157504026203,0.0078125
8,7,D = 7,16384,8,0.8745128474546713,0.875,0.99944325423391,0.0078125
8,7,D = 7,16384,9,0.8763487314462356,0.875,1.0015414073671265,0.0078125
8,7,D = 7,16384,10,0.8747977092461632,0.875,0.9997688105670436,0.0078125
8,7,D = 7,16384,11,0.8743468191186401,0.875,0.9992535075641601,0.0078125
8,7,D = 7,16384,12,0.8759300042126241,0.875,1.0010628619572848,0.0078125
8,7,D = 7,16384,13,0.8754419973152611,0.875,1.0005051397888698,0.0078125
8,7,D = 7,16384,14,0.8748467357689487,0.875,0.9998248408787985,0.0078125
8,7,D = 7,16384,15,0.873473445286251,0.875,0.9982553660414297,0.0078125
8,7,D = 7,16384,16,0.8774975207047693,0.875,1.0028543093768791,0.0078125
8,7,D = 7,16384,17,0.8764985749516522,0.875,1.0017126570876025,0.0078125
8,7,D = 7,16384,18,0.8743420553182547,0.875,0.9992480632208626,0.0078125
8,7,D = 7,16384,19,0.8742070315097026,0.875,0.9990937502968029,0.0078125
8,7,D = 7,16384,20,0.8750397129417984,0.875,1.0000453862191983,0.0078125
8,7,D = 7,16384,21,0.876149190209918,0.875,1.0013133602399062,0.0078125
8,7,D = 7,16384,22,0.8762006793567148,0.875,1.0013722049791025,0.0078125
8,7,D = 7,16384,23,0.8754437362835263,0.875,1.000507127181173,0.0078125
8,7,D = 7,16384,24,0.8734663555326103,0.875,0.9982472634658404,0.0078125
8,7,D = 7,16384,25,0.8759973930872405,0.875,1.001139877813989,0.0078125
8,7,D = 7,16384,26,0.8755080376082711,0.875,1.0005806144094527,0.0078125
8,7,D = 7,16384,27,0.8739113903041928,0.875,0.9987558746333632,0.0078125
8,7,D = 7,16384,28,0.8746221428277376,0.875,0.9995681632317002,0.0078125
8,7,D = 7,16384,29,0.8741106399142367,0.875,0.9989835884734133,0.0078125
8,7,D = 7,32768,0,0.8747331598153996,0.875,0.9996950397890281,0.005524271728019902
8,7,D = 7,32768,1,0.8751005847526192,0.875,1.0001149540029934,0.005524271728019902
8,7,D = 7,32768,2,0.87429652375061,0.875,0.9991960271435543,0.005524271728019902
8,7,D = 7,32768,3,0.8747796108455814,0.875,0.9997481266806645,0.005524271728019902
8,7,D = 7,32768,4,0.8749131156623875,0.875,0.9999007036141572,0.005524271728019902
8,7,D = 7,32768,5,0.8750462221489285,0.875,1.0000528253130612,0.005524271728019902
8,7,D = 7,32768,6,0.8744858261656508,0.875,0.9994123727607438,0.005524271728019902
8,7,D = 7,32768,7,0.8747115937532816,0.875,0.9996703928608932,0.005524271728019902
8,7,D = 7,32768,8,0.8752073591061396,0.875,1.000236981835588,0.005524271728019902
8,7,D = 7,32768,9,0.8742377888995878,0.875,0.9991289015995289,0.005524271728019902
8,7,D = 7,32768,10,0.8736442695257701,0.875,0.9984505937437372,0.005524271728019902
8,7,D = 7,32768,11,0.8745625196157026,0.875,0.9995000224179459,0.005524271728019902
8,7,D = 7,32768,12,0.8734276727179016,0.875,0.9982030545347447,0.005524271728019902
8,7,D = 7,32768,13,0.8749541852152615,0.875,0.9999476402460131,0.005524271728019902
8,7,D = 7,32768,14,0.8744346339075485,0.875,0.9993538673229125,0.005524271728019902
8,7,D = 7,32768,15,0.8747255133007368,0.875,0.9996863009151278,0.005524271728019902
8,7,D = 7,32768,16,0.8763508599156234,0.875,1.0015438399035697,0.005524271728019902
8,7,D = 7,32768,17,0.8754198847407233,0.875,1.0004798682751124,0.005524271728019902
8,7,D = 7,32768,18,0.8755824363103745,0.875,1.0006656414975708,0.005524271728019902
8,7,D = 7,32768,19,0.8739927304156291,0.875,0.998848834760719,0.005524271728019902
8,7,D = 7,32768,20,0.87484387641825,0.875,0.9998215730494285,0.005524271728019902
8,7,D = 7,32768,21,0.8756550961787627,0.875,1.0007486813471573,0.005524271728019902
8,7,D = 7,32768,22,0.8759967180834505,0.875,1.0011391063810862,0.005524271728019902
8,7,D = 7,32768,23,0.8754913766951702,0.875,1.0005615733659088,0.005524271728019902
8,7,D = 7,32768,24,0.8737581188478557,0.875,0.9985807072546923,0.005524271728019902
8,7,D = 7,32768,25,0.8746080236531353,0.875,0.9995520270321546,0.005524271728019902
8,7,D = 7,32768,26,0.8751617842096406,0.875,1.0001848962395894,0.005524271728019902
8,7,D = 7,32768,27,0.875373089215534,0.875,1.000426387674896,0.005524271728019902
8,7,D = 7,32768,28,0.8763410501198614,0.875,1.001532628708413,0.005524271728019902
8,7,D = 7,32768,29,0.8745188838370823,0.875,0.9994501529566655,0.005524271728019902
10,9,D = 9,128,0,0.9092887315697212,0.9,1.0103208128552459,0.08838834764831843
10,9,D = 9,128,1,0.8834744786556414,0.9,0.9816383096173793,0.08838834764831843
10,9,D = 9,128,2,0.8981814472203713,0.9,0.9979793858004126,0.08838834764831843
10,9,D = 9,128,3,0.8958249456487051,0.9,0.9953610507207834,0.08838834764831843
10,9,D = 9,128,4,0.9088772656959547,0.9,1.0098636285510607,0.08838834764831843
10,9,D = 9,128,5,0.9087346514683864,0.9,1.009705168298207,0.08838834764831843
10,9,D = 9,128,6,0.8995081994291243,0.9,0.9994535549212492,0.08838834764831843
10,9,D = 9,128,7,0.8919552728804234,0.9,0.9910614143115816,0.08838834764831843
10,9,D = 9,128,8,0.8831479449089096,0.9,0.9812754943432328,0.08838834764831843
10,9,D = 9,128,9,0.8835058219547269,0.9,0.9816731355052521,0.08838834764831843
10,9,D = 9,128,10,0.8872762016945965,0.9,0.9858624463273294,0.08838834764831843
10,9,D = 9,128,11,0.8940265111663285,0.9,0.9933627901848094,0.08838834764831843
10,9,D = 9,128,12,0.8662700212619325,0.9,0.9625222458465916,0.08838834764831843
10,9,D = 9,128,13,0.9015031081151809,0.9,1.0016701201279787,0.08838834764831843
10,9,D = 9,128,14,0.8923848587133596,0.9,0.9915387319037329,0.08838834764831843
10,9,D = 9,128,15,0.8852924770644829,0.9,0.9836583078494254,0.08838834764831843
10,9,D = 9,128,16,0.8987348840293312,0.9,0.9985943155881458,0.08838834764831843
10,9,D = 9,128,17,0.8948555771645398,0.9,0.9942839746272664,0.08838834764831843
10,9,D = 9,128,18,0.8984682754923803,0.9,0.9982980838804225,0.08838834764831843
10,9,D = 9,128,19,0.8873075200026939,0.9,0.9858972444474376,0.08838834764831843
10,9,D = 9,128,20,0.9101468690621942,0.9,1.0112742989579935,0.08838834764831843
10,9,D = 9,128,21,0.9000586221069664,0.9,1.000065135674407,0.08838834764831843
10,9,D = 9,128,22,0.8996129030807403,0.9,0.9995698923119336,0.08838834764831843
10,9,D = 9,128,23,0.92041180973384,0.9,1.0226797885931556,0.08838834764831843
10,9,D = 9,128,24,0.8940249508590221,0.9,0.9933610565100246,0.08838834764831843
10,9,D = 9,128,25,0.8896514917660969,0.9,0.9885016575178854,0.08838834764831843
10,9,D = 9,128,26,0.8797784757933677,0.9,0.9775316397704085,0.08838834764831843
10,9,D = 9,128,27,0.9123310067872178,0.9,1.0137011186524643,0.08838834764831843
10,9,D = 9,128,28,0.9149245133013412,0.9,1.0165827925570456,0.08838834764831843
10,9,D = 9,128,29,0.8810792075219872,0.9,0.9789768972466524,0.08838834764831843
10,9,D = 9,256,0,0.9023054635890022,0.9,1.0025616262100023,0.0625
10,9,D = 9,256,1,0.9057597100855626,0.9,1.0063996778728472,0.0625
10,9,D = 9,256,2,0.888748964589669,0.9,0.9874988495440766,0.0625
10,9,D = 9,256,3,0.8966984874061756,0.9,0.9963316526735284,0.0625
10,9,D = 9,256,4,0.8969361932882521,0.9,0.9965957703202801,0.0625
10,9,D = 9,256,5,0.9011883648910113,0.9,1.0013204054344569,0.0625
10,9,D = 9,256,6,0.8929002299887882,0.9,0.9921113666542091,0.0625
10,9,D = 9,256,7,0.9049142048930447,0.9,1.0054602276589386,0.0625
10,9,D = 9,256,8,0.8945264053966642,0.9,0.9939182282185157,0.0625
10,9,D = 9,256,9,0.9056068477389758,0.9,1.0062298308210842,0.0625
10,9,D = 9,256,10,0.9112362003920491,0.9,1.0124846671022767,0.0625
10,9,D = 9,256,11,0.8966955324451023,0.9,0.9963283693834469,0.0625
10,9,D = 9,256,12,0.9030691842831455,0.9,1.0034102047590505,0.0625
10,9,D = 9,256,13,0.893048307162319,0.9,0.9922758968470211,0.0625
10,9,D = 9,256,14,0.9014571280656891,0.9,1.001619031184099,0.0625
10,9,D = 9,256,15,0.9091964107918213,0.9,1.0102182342131347,0.0625
10,9,D = 9,256,16,0.9080190752064936,0.9,1.0089100835627707,0.0625
10,9,D = 9,256,17,0.8909310606194919,0.9,0.9899234006883243,0.0625
10,9,D = 9,256,18,0.8916317103286686,0.9,0.9907019003651873,0.0625
10,9,D = 9,256,19,0.9136901557605954,0.9,1.0152112841784393,0.0625
10,9,D = 9,256,20,0.893549500489883,0.9,0.9928327783220923,0.0625
10,9,D = 9,256,21,0.8993207597080988,0.9,0.9992452885645542,0.0625
10,9,D = 9,256,22,0.9083390164081359,0.9,1.0092655737868177,0.0625
