family,manifold,dimension,chi_theory,sample,status,defect_count,index_sum,gamma_indexed_sum,remainder,sign_condition,lambda3,lambda5,lambda7,rho,width_theory,width_numerical,discontinuous
Sphere,$S^4$,4,2.0,126,"$\chi(M)\ne0$, sign condition",2,2.0,0.9013835966137859,-0.005063219281767374,True,-0.9064468158955532,1.015320109894045,0.03473071165770383,0.0158488530591527,0.2023120152059558,0.19795680553941084,True
Sphere,$S^4$,4,2.0,127,"$\chi(M)\ne0$, sign condition",2,2.0,0.8505029934249905,-0.0019427705722955887,True,-0.8524457639972861,1.1177169367247697,0.025830173285585418,0.02919525006283801,0.16253305212638397,0.15938153573340977,True
Sphere,$S^4$,4,2.0,128,"$\chi(M)\ne0$, sign condition",2,2.0,0.846918365845776,-0.0035014864198294905,True,-0.8504198522656055,0.849735632810928,0.033313306880780755,0.03493200987604145,0.21277615566592764,0.20530146754059883,True
Sphere,$S^4$,4,2.0,129,"$\chi(M)\ne0$, sign condition",2,2.0,1.0040151654342693,0.001313837981326759,True,-1.0027013274529426,1.463283249953151,0.025735402277925475,0.0012367964919581687,0.17177295511789717,0.1706798939090074,True
Sphere,$S^4$,4,2.0,130,"$\chi(M)\ne0$, sign condition",2,2.0,0.8342525253952158,0.00148944291726883,True,-0.832763082477947,1.0950617756400118,0.030888949819660224,0.020965801783619727,0.15832311175615119,0.1554471467993087,True
Sphere,$S^4$,4,2.0,131,"$\chi(M)\ne0$, sign condition",2,2.0,0.8324843354411999,-0.0008446118927727153,True,-0.8333289473339727,1.3606772381464955,0.011181134466316384,0.030892444646826327,0.12759034894467408,0.12608554509329226,True
Sphere,$S^4$,4,2.0,132,"$\chi(M)\ne0$, sign condition",2,2.0,0.8099742796737934,-0.004869784408307761,True,-0.8148440640821012,1.1774258179757204,0.007925352227084926,0.01734614596950812,0.14097933785573044,0.13981756845874407,True
Sphere,$S^4$,4,2.0,133,"$\chi(M)\ne0$, sign condition",2,2.0,0.7558810587543223,0.0017987654308668647,True,-0.7540822933234554,1.4539320825519688,0.025010307617235536,0.0005289606337064834,0.09777624964879277,0.09733107078138606,True
Sphere,$S^4$,4,2.0,134,"$\chi(M)\ne0$, sign condition",2,2.0,0.8558262276068807,0.002514056733633323,True,-0.8533121708732473,1.2994256857693196,0.017936317572385806,0.021562323390881096,0.14008913109358015,0.13848838962428514,True
Sphere,$S^4$,4,2.0,135,"$\chi(M)\ne0$, sign condition",2,2.0,0.7634501029160767,-0.0017302985674720512,True,-0.7651804014835488,0.9993969784821006,0.02238054340470412,0.00046786201188165185,0.1464635823954043,0.14520580380253595,True
Sphere,$S^4$,4,2.0,136,"$\chi(M)\ne0$, sign condition",2,2.0,0.8418994130087865,7.148917027849566e-05,True,-0.8418279238385079,1.1731328401938508,0.02066288466745506,0.012101724311346805,0.15102174047850156,0.1494384880931755,True
Sphere,$S^4$,4,2.0,137,"$\chi(M)\ne0$, sign condition",2,2.0,0.8940812896141197,0.0010868188465448752,True,-0.8929944707675749,0.9990855530805477,0.014822378631819432,0.03432187726184424,0.19954225200301,0.19528333360444838,True
Sphere,$S^4$,4,2.0,138,"$\chi(M)\ne0$, sign condition",2,2.0,0.8263830826747949,0.006754889088397864,True,-0.819628193586397,0.7956538852086902,0.00713836176554516,0.027293823461512275,0.21108122143634667,0.20723234628647583,True
Sphere,$S^4$,4,2.0,139,"$\chi(M)\ne0$, sign condition",2,2.0,0.9993169663067205,-0.0013466180841870362,True,-1.0006635843909075,1.4670688011294535,0.017608006316495856,0.008574466511919,0.17063405757711672,0.16944979375712976,True
Sphere,$S^4$,4,2.0,140,"$\chi(M)\ne0$, sign condition",2,2.0,0.7866019688544765,-0.002534712541652008,True,-0.7891366813961286,0.9366288496347381,0.029273529048255763,0.019577336776400493,0.16621757438064894,0.16277700460764996,True
