case,case_index,p,q,dimension,chi,conditioned,role,delta,seed_index,seed,direction,K_index,K,K_over_Kref,R,N,relax_steps,K_grid_size
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,59,0.6144762151179741,1.7556463289084976,0.7331580230406364,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,forward,60,0.6475,1.85,0.7452632953005444,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,0,0.027999999999999997,0.08,0.04805985454232131,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,1,0.02950480352851281,0.08429943865289374,0.05606278039187618,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,2,0.03109047968771934,0.08882994196491241,0.06555093818203181,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,3,0.03276137481404919,0.09360392804014056,0.11134064232072129,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,4,0.03452206882901746,0.09863448236862132,0.0715726833834059,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,5,0.03637738779278416,0.10393539369366904,0.08380147529153227,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,6,0.03833241713237916,0.1095211918067976,0.08829742616907653,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,7,0.04039251558085162,0.11540718737386178,0.08009076987569487,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,8,0.04256332986555068,0.12160951390157337,0.09027867031003077,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,9,0.04485081018579837,0.1281451719594239,0.08718605602522234,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,10,0.047261226522378616,0.13503207577822463,0.09997323363532613,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,11,0.04980118582354714,0.14228910235299183,0.07996468837249428,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,12,0.05247765011466842,0.14993614318476692,0.09540560690192355,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,13,0.055297955581118885,0.15799415880319684,0.10277621419889506,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,14,0.05826983267676218,0.16648523621932054,0.08436159150463804,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,15,0.061401427313113675,0.1754326494660391,0.08979989981226723,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,16,0.06470132318727426,0.18486092339221216,0.10261748853487408,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,17,0.06817856530983343,0.1947959008852384,0.1080857576944236,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,18,0.07184268479723267,0.20526481370637908,0.13099999644966295,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,19,0.07570372499654372,0.21629635713298206,0.11817580856725396,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,20,0.07977226901427091,0.22792076861220262,0.13370058118346792,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,21,0.0840594687246333,0.24016991064180943,0.11933131253767104,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,22,0.08857707533683831,0.25307735810525234,0.14227329140397754,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,23,0.09333747160513185,0.2666784903003767,0.15043860802718378,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,24,0.09835370576991276,0.2810105879140365,0.11840398053360396,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,25,0.103639527322944,0.2961129352084114,0.11695615443850349,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,26,0.10920942469469275,0.31202692769912216,0.13802215211419458,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,27,0.11507866496710088,0.3287961856202883,0.16766057646129304,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,28,0.12126333572063788,0.34646667348753685,0.1850888578934369,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,29,0.12778038913033962,0.36508682608668463,0.2040653889220951,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,30,0.1346476884316994,0.3847076812334269,0.20002636336903445,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,31,0.1418840568837749,0.4053830196679283,0.20588779742475205,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,32,0.1495093293637183,0.4271695124677666,0.21096414828291246,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,33,0.15754440673415068,0.4501268763832877,0.25145092148118,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,34,0.1660113131324009,0.47431803752114543,0.2703042027189857,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,35,0.1749332563386395,0.4998093038246843,0.3304766559674363,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,36,0.18433469138837588,0.5266705468239311,0.3393706876299011,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,37,0.19424138760368112,0.5549753931533746,0.34797688316895853,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,38,0.2046804992268684,0.5848014263624812,0.33967007684728157,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,39,0.2156806398502382,0.6162303995721091,0.3303315016588715,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,40,0.22727196084590023,0.649348459559715,0.365451113396796,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,41,0.2394862340106479,0.6842463828875655,0.3847372765734771,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,42,0.25235693865241454,0.7210198247211844,0.4173341893421827,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,43,0.26591935335701605,0.7597695810200459,0.423830009617676,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,44,0.28021065268671175,0.8006018648191765,0.4439593683720216,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,45,0.29527000907563467,0.8436285973589562,0.4934197899387891,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,46,0.3111387002013854,0.8889677148611012,0.5016258921821193,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,47,0.3278602221270973,0.9367434917917067,0.5183925693224238,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,48,0.3454804085240918,0.9870868814974052,0.5600142770404216,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,49,0.3640475563019168,1.0401358751483338,0.5844219813592444,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,50,0.3836125579901163,1.0960358799717609,0.601311743550913,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,51,0.40422904123459313,1.1549401178131233,0.6233481190480621,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,52,0.4259535157909203,1.2170100451169152,0.653653725298732,256,850,61
$S^3\times S^3$,0,3,3,6,0,False,continuous control,0.35,0,157029,backward,53,0.44884552841751363,1.2824157954786104,0.6620050388339662,256,850,61
