family,manifold,dimension,zero_label,index,jacobian_det,chi_theory
Torus,$\mathbb{T}^7$,7,27,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,28,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,29,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,30,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,31,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,32,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,33,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,34,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,35,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,36,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,37,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,38,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,39,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,40,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,41,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,42,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,43,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,44,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,45,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,46,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,47,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,48,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,49,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,50,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,51,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,52,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,53,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,54,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,55,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,56,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,57,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,58,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,59,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,60,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,61,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,62,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,63,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,64,-1,-0.9999999998898839,0
Torus,$\mathbb{T}^7$,7,65,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,66,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,67,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,68,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,69,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,70,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,71,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,72,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,73,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,74,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,75,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,76,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,77,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,78,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,79,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,80,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,81,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,82,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,83,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,84,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,85,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,86,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,87,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,88,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,89,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,90,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,91,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,92,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,93,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,94,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,95,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,96,1,0.9999999998964352,0
Torus,$\mathbb{T}^7$,7,97,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,98,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,99,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,100,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,101,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,102,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,103,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,104,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,105,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,106,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,107,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,108,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,109,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,110,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,111,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,112,-1,-0.9999999999029865,0
Torus,$\mathbb{T}^7$,7,113,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,114,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,115,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,116,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,117,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,118,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,119,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,120,1,0.9999999999095378,0
Torus,$\mathbb{T}^7$,7,121,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,122,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,123,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,124,-1,-0.9999999999160891,0
Torus,$\mathbb{T}^7$,7,125,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,126,1,0.9999999999226404,0
Torus,$\mathbb{T}^7$,7,127,-1,-0.9999999999291918,0
Sphere,$S^8$,8,north,1,0.9999999996,2
Sphere,$S^8$,8,south,1,0.9999999996,2
Torus,$\mathbb{T}^8$,8,0,1,0.9999999998666658,0
Torus,$\mathbb{T}^8$,8,1,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,2,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,3,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,4,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,5,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,6,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,7,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,8,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,9,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,10,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,11,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,12,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,13,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,14,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,15,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,16,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,17,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,18,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,19,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,20,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,21,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,22,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,23,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,24,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,25,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,26,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,27,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,28,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,29,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,30,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,31,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,32,-1,-0.9999999998732171,0
Torus,$\mathbb{T}^8$,8,33,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,34,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,35,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,36,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,37,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,38,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,39,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,40,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,41,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,42,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,43,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,44,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,45,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,46,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,47,-1,-0.9999999998994223,0
Torus,$\mathbb{T}^8$,8,48,1,0.9999999998797684,0
Torus,$\mathbb{T}^8$,8,49,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,50,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,51,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,52,-1,-0.9999999998863197,0
Torus,$\mathbb{T}^8$,8,53,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,54,1,0.999999999892871,0
Torus,$\mathbb{T}^8$,8,55,-1,-0.9999999998994223,0
