manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,direction,K_index,K,K_over_Kref,R,K_ref,N,relax_steps,K_grid_size,construction_status
$S^3$,3,0,0.35,0,821023,False,forward,107,0.2415280532493373,0.5175601141057228,0.3628375047308579,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,108,0.24577958851783457,0.5266705468239313,0.38170679080103104,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,109,0.25010596209971236,0.5359413473565265,0.3696863494455694,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,110,0.25450849134806697,0.5453753386030007,0.3757093624939007,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,111,0.2589885168049082,0.5549753931533747,0.3737126443606237,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,112,0.2635474026093458,0.5647444341628839,0.37169422430662047,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,113,0.2681865369129613,0.5746854362420599,0.40072260390304343,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,114,0.2729073323024912,0.5848014263624812,0.40149639269869425,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,115,0.27771122622995037,0.5950954847784652,0.4067143071606592,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,116,0.28259968145032754,0.6055707459649876,0.40631870847520174,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,117,0.2875741864669842,0.616230399572109,0.4211184538431579,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,118,0.2926362559848949,0.6270776913962034,0.4296994134912145,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,119,0.2977874313718649,0.638115924368282,0.45275891061094303,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,120,0.3030292811278669,0.6493484595597149,0.4670732370968382,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,121,0.3083634013626394,0.660778717205656,0.4844657480355727,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,122,0.3137914162816916,0.672410177746482,0.4902261402158553,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,123,0.31931497868086384,0.6842463828875655,0.489076794788817,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,124,0.3249357704495934,0.6962909366777001,0.4974628141065505,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,125,0.3306555030830387,0.7085475066065116,0.5041886294810597,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,126,0.3364759182032193,0.7210198247211843,0.5076897525426852,0.4666666666666666,1024,3000,181,ordinary random skew drift
$S^3$,3,0,0.35,0,821023,False,forward,127,0.34239878808932817,0.7337116887628461,0.5101071252763203,0.4666666666666666,1024,3000,181,ordinary random skew drift
