manifold,manifold_dimension,chi,delta,seed_index,seed,conditioned,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference
$S^2$,2,2,0.35,10,146033,True,0.14695651845616442,0.833301048958697,0.101250253119456,0.08
$S^2$,2,2,0.35,11,146034,True,0.1660343403450555,0.8701158470677728,0.10952119180679762,0.08
$S^2$,2,2,0.35,12,146035,True,0.18511938227035052,0.8870889016665039,0.1332764051280393,0.09360392804014057
$S^2$,2,2,0.35,13,146036,True,0.17420591692939374,0.8684763275437359,0.10530455067271668,0.08653504632928354
$S^2$,2,2,0.35,14,146037,True,0.2008801385137357,0.8849239769398108,0.12814517195942393,0.0900001124974657
$S^2$,2,2,0.5,0,161023,True,0.24096412527393074,0.8593914139632114,0.101250253119456,0.08
$S^2$,2,2,0.5,1,161024,True,0.20133474813186847,0.8135560112344524,0.09360392804014056,0.08
$S^2$,2,2,0.5,2,161025,True,0.2005328735714682,0.8567411778429594,0.101250253119456,0.08
$S^2$,2,2,0.5,3,161026,True,0.19201791055975226,0.8120141638702363,0.09360392804014056,0.08
$S^2$,2,2,0.5,4,161027,True,0.22262536008448236,0.8504349880693371,0.113906677139349,0.08653504632928351
$S^2$,2,2,0.5,5,161028,True,0.2160737269026814,0.8559022750826625,0.09735204880761152,0.08
$S^2$,2,2,0.5,6,161029,True,0.2180301960287525,0.8588878756911397,0.101250253119456,0.08
$S^2$,2,2,0.5,7,161030,True,0.19823654016408698,0.8583442002342516,0.09735204880761152,0.08
$S^2$,2,2,0.5,8,161031,True,0.20862088625214714,0.8070867492365243,0.09000011249746569,0.08
$S^2$,2,2,0.5,9,161032,True,0.19255791456570653,0.8133788210809322,0.09000011249746569,0.08
$S^2$,2,2,0.5,10,161033,True,0.19639434887351442,0.8316265972108512,0.09360392804014056,0.08
$S^2$,2,2,0.5,11,161034,True,0.20636697859294573,0.866905907116584,0.09735204880761152,0.08
$S^2$,2,2,0.5,12,161035,True,0.20790815680746283,0.8687116898815518,0.09735204880761152,0.08
$S^2$,2,2,0.5,13,161036,True,0.21357729474102538,0.8773414482052336,0.10530455067271666,0.08320338758934445
$S^2$,2,2,0.5,14,161037,True,0.24804660143816054,0.8781728457611375,0.10952119180679759,0.08653504632928351
$S^3$,3,0,0.35,0,156023,False,0.06417202210252132,0.0890123030551826,0.5925051057906946,0.5477596704910441
$S^3$,3,0,0.35,1,156024,False,0.08221179140620624,0.08553310711018214,0.2922629107865141,0.27019148720336417
$S^3$,3,0,0.35,2,156025,False,0.06758117506473157,0.0986359717233518,0.3847076812334268,0.25978892930361075
$S^3$,3,0,0.35,3,156026,False,0.06946059181899805,0.0853819084803501,0.35565491444429176,0.3287961856202882
$S^3$,3,0,0.35,4,156027,False,0.08040275443851505,0.08637959202587463,0.3847076812334268,0.24978687703035873
$S^3$,3,0,0.35,5,156028,False,0.0829735956879095,0.15892211368273856,0.3287961856202882,0.3287961856202882
$S^3$,3,0,0.35,6,156029,False,0.08763585977244182,0.1128549141847712,0.46815101200124537,0.24016991064180945
$S^3$,3,0,0.35,7,156030,False,0.07463855283340029,0.11949447370172148,0.4327966823705949,0.4327966823705949
$S^3$,3,0,0.35,8,156031,False,0.0676561445448251,0.10809943064879998,0.34196195587578604,0.4327966823705949
$S^3$,3,0,0.35,9,156032,False,0.0718467437653057,0.06406138714891413,0.46815101200124537,0.46815101200124537
$S^3$,3,0,0.35,10,156033,False,0.06411930750874129,0.10292314729046437,0.5925051057906946,0.5063933689078589
$S^3$,3,0,0.35,11,156034,False,0.08018870476776171,0.11082261668917853,0.30396580305200427,0.1686783719258143
$S^3$,3,0,0.35,12,156035,False,0.09480356137631452,0.10507747122087757,0.46815101200124537,0.25978892930361075
$S^3$,3,0,0.35,13,156036,False,0.06709208272597511,0.09592985955695876,0.6665690772060667,0.23092320406681816
$S^3$,3,0,0.35,14,156037,False,0.06258433356825496,0.06029780092131845,0.2922629107865141,0.24978687703035873
$S^3$,3,0,0.5,0,171023,False,0.0479934598648204,0.07004958078737461,0.48689687627354333,0.666569077206067
$S^3$,3,0,0.5,1,171024,False,0.07637463916453296,0.11205679081058048,0.34196195587578615,0.32879618562028823
$S^3$,3,0,0.5,2,171025,False,0.07816262589837572,0.07999726233603818,0.24978687703035882,0.2597889293036108
$S^3$,3,0,0.5,3,171026,False,0.06268929151919442,0.07820116948839115,0.2597889293036108,0.24978687703035882
$S^3$,3,0,0.5,4,171027,False,0.06449777825865144,0.117821062987466,0.2701914872033643,0.3698961711820445
$S^3$,3,0,0.5,5,171028,False,0.06985610687829713,0.10524152835618358,0.43279668237059493,0.18976340561515812
$S^3$,3,0,0.5,6,171029,False,0.07531978955587025,0.09195948879052236,0.28101058791403655,0.28101058791403655
$S^3$,3,0,0.5,7,171030,False,0.09041979841044251,0.09754679306202702,0.5266705468239312,0.2701914872033643
$S^3$,3,0,0.5,8,171031,False,0.06383772713890343,0.09094240024453501,0.4161337127345729,0.4161337127345729
$S^3$,3,0,0.5,9,171032,False,0.0782792963804612,0.07543751089763902,0.13327640512803932,0.2309232040668182
$S^3$,3,0,0.5,10,171033,False,0.07771170164351121,0.07099464947465561,0.29226291078651423,0.5925051057906948
$S^3$,3,0,0.5,11,171034,False,0.06390191731935357,0.12322645906908536,0.31613730656552824,0.3556549144442918
$S^3$,3,0,0.5,12,171035,False,0.0721553501182419,0.08072711316942882,0.38470768123342686,0.16867837192581436
$S^3$,3,0,0.5,13,171036,False,0.06123605306826224,0.06183025307760559,0.5063933689078591,0.45012687638328774
$S^3$,3,0,0.5,14,171037,False,0.08132976873480055,0.07788801349569321,0.3556549144442918,0.31613730656552824
$S^4$,4,2,0.35,0,166023,True,0.14907115669471172,0.8024521240124931,0.10125025311945601,0.08
$S^4$,4,2,0.35,1,166024,True,0.14883413317243893,0.8278258089099888,0.10125025311945601,0.08
$S^4$,4,2,0.35,2,166025,True,0.1459303088349002,0.8237135646397182,0.10952119180679762,0.08
$S^4$,4,2,0.35,3,166026,True,0.15599826934016697,0.8431537188177993,0.10530455067271668,0.08
$S^4$,4,2,0.35,4,166027,True,0.18141354630936446,0.8494677885827415,0.11846776758799472,0.08320338758934447
$S^4$,4,2,0.35,5,166028,True,0.16693074955104853,0.861158502127693,0.11390667713934902,0.08653504632928354
$S^4$,4,2,0.35,6,166029,True,0.16052207275060681,0.8455516781254174,0.10952119180679762,0.08
$S^4$,4,2,0.35,7,166030,True,0.18032565755587238,0.8522219876431131,0.11846776758799472,0.08
$S^4$,4,2,0.35,8,166031,True,0.1516455730542156,0.8356318710130943,0.10530455067271668,0.08
$S^4$,4,2,0.35,9,166032,True,0.14722464195033907,0.8283334983153573,0.10125025311945601,0.08
$S^4$,4,2,0.35,10,166033,True,0.15328701942634432,0.823905802004449,0.10530455067271668,0.08
$S^4$,4,2,0.35,11,166034,True,0.1822207392928445,0.8675426117716231,0.12321149479335379,0.08
$S^4$,4,2,0.35,12,166035,True,0.14981844748273,0.8270664454174904,0.10530455067271668,0.08
$S^4$,4,2,0.35,13,166036,True,0.16713095961249413,0.8646842259428673,0.12814517195942393,0.08653504632928354
$S^4$,4,2,0.35,14,166037,True,0.18688296870434512,0.8662738986862629,0.12321149479335379,0.08
$S^4$,4,2,0.5,0,181023,True,0.19707589709189854,0.8410375186466127,0.0973520488076115,0.08
$S^4$,4,2,0.5,1,181024,True,0.18421891433001353,0.8243135794104128,0.10125025311945597,0.08653504632928351
$S^4$,4,2,0.5,2,181025,True,0.20932346456026435,0.8459960524527078,0.10125025311945597,0.08320338758934444
$S^4$,4,2,0.5,3,181026,True,0.20243779714678078,0.8079468263196107,0.09360392804014055,0.08
$S^4$,4,2,0.5,4,181027,True,0.2547092588937227,0.8641447089889404,0.11390667713934899,0.08
$S^4$,4,2,0.5,5,181028,True,0.2086565664060856,0.8705093435859363,0.10530455067271664,0.08
$S^4$,4,2,0.5,6,181029,True,0.2163726556681223,0.8471360412225775,0.10125025311945597,0.08320338758934444
$S^4$,4,2,0.5,7,181030,True,0.20963958716662967,0.8589846010922707,0.10530455067271664,0.08320338758934444
$S^4$,4,2,0.5,8,181031,True,0.21532219175155304,0.8517643724660467,0.10125025311945597,0.08320338758934444
