case,case_plain,case_index,kind,dimension,chi,parameter,conditioned,role,delta,seed_index,seed,N,relax_steps,K_grid_size,conditioning_noise,jump_size,max_scan_difference,K_at_jump,K_at_max_scan_difference,forward_R_lowK,backward_R_lowK,forward_R_highK,hysteresis_area
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,2,60447220,256,1800,121,0.1,0.1248931032881524,0.9076390553003819,0.09645379778966362,0.062231509236643584,0.08339612049959498,0.9891632297325015,0.9993309999311725,0.027929730587978818
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,3,60457220,256,1800,121,0.1,0.13297654729198505,0.8852256830140159,0.08035703728215758,0.06,0.09779287863617937,0.9830185616501953,0.9992027131280881,0.02379234813850848
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,4,60467220,256,1800,121,0.1,0.12714729895166155,0.8867192737953997,0.08334566179756502,0.06,0.09620919452702997,0.9829284683224296,0.9992624293505481,0.02433759253555414
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,5,60477220,256,1800,121,0.1,0.12427864025594093,0.9305877634044708,0.09645379778966362,0.06,0.05813149306230561,0.9887192564667764,0.999281968039393,0.031986417174690175
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,6,60487220,256,1800,121,0.1,0.10986598426706562,0.9373305985300766,0.09645379778966362,0.06,0.0516242212121423,0.9889548197422189,0.9991503270432346,0.027648651576677598
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,7,60497220,256,1800,121,0.1,0.11970788117667319,0.9171886660252986,0.10376180041225572,0.06,0.07140023001376858,0.9885888960390672,0.9991817601625859,0.032437951014895064
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,8,60507220,256,1800,121,0.1,0.1303260650566751,0.9037901144889849,0.08334566179756502,0.06,0.07859570055436242,0.9823858150433473,0.9992047190388603,0.024798068445090228
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,9,60517220,256,1800,121,0.1,0.11695042710426717,0.9275374833244596,0.09645379778966362,0.06,0.049308520853711776,0.9768460041781714,0.9990921182435653,0.03582773924636603
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,10,60527220,256,1800,121,0.1,0.13000864834069237,0.9128633323761925,0.08035703728215758,0.06,0.08166133916452273,0.9945246715407153,0.9991765186482277,0.01680336528566042
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,11,60537220,256,1800,121,0.1,0.1354122940461856,0.9240394323834461,0.0774755794302747,0.06,0.07069780659046034,0.9947372389739064,0.9991894688823635,0.018498469938116553
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,12,60547220,256,1800,121,0.1,0.12319983182432193,0.8867283749331822,0.11162350753955047,0.06,0.10779612882130574,0.994524503754488,0.9991397209078698,0.03526876291881098
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,13,60557220,256,1800,121,0.1,0.10644876220478494,0.9168594112031069,0.09299513925290025,0.06,0.0718835252610387,0.9887429364641456,0.9991937815695384,0.026933047251560396
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.35,14,60567220,256,1800,121,0.1,0.1280057650973917,0.920140422219454,0.08334566179756502,0.06,0.06866481696663797,0.988805239186092,0.9992117236639899,0.022238745487582996
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,0,60442220,256,1800,121,0.1,0.1532616420499161,0.8827250676731806,0.07201893030300671,0.06,0.1016051670100425,0.9843302346832231,0.9991368392533592,0.017000027774555462
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,1,60452220,256,1800,121,0.1,0.14428395288501938,0.8926712296427612,0.08966050194856165,0.06,0.08461407663997092,0.9772853062827321,0.9991206818108181,0.028579863365910622
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,2,60462220,256,1800,121,0.1,0.14826817984090268,0.9209578604382023,0.08035703728215755,0.06,0.07343411444425593,0.9943919748824582,0.9991940308527965,0.015402090114513359
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,3,60472220,256,1800,121,0.1,0.13145236005198313,0.8779746524208916,0.08035703728215755,0.06,0.09965765065627462,0.9776323030771662,0.9992543870169366,0.019621259523407916
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,4,60482220,256,1800,121,0.1,0.14071688233216173,0.9357213264532904,0.08644543869982228,0.06,0.04741318093598483,0.9831345073892752,0.9991845789222258,0.022551248886747505
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,5,60492220,256,1800,121,0.1,0.13354921099695805,0.9003463680806965,0.08035703728215755,0.06,0.08890274506280299,0.9892491131434995,0.9992299369361929,0.020679387364435413
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,6,60502220,256,1800,121,0.1,0.1721753642024283,0.91604039263081,0.07469744543941254,0.06,0.0727735711693997,0.9888139638002098,0.999160133737647,0.016918282584924477
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,7,60512220,256,1800,121,0.1,0.17655752636717603,0.9255144984563146,0.08035703728215755,0.06223150923664356,0.0706886994550939,0.9831784768519882,0.9992082240874637,0.02260335590800236
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,8,60522220,256,1800,121,0.1,0.13592653749112005,0.8755218371079244,0.08035703728215755,0.06,0.11913313379840854,0.9946549709063329,0.9992039300439812,0.0141153056280695
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,9,60532220,256,1800,121,0.1,0.15256703788482695,0.9020062674372018,0.08035703728215755,0.06,0.09257932781640912,0.9945855952536109,0.9991454365736683,0.01610085201595057
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,10,60542220,256,1800,121,0.1,0.1352259785589246,0.8822203063760149,0.08035703728215755,0.06,0.10072577046335544,0.9829460768393703,0.9991571579769614,0.0189662114686786
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,11,60552220,256,1800,121,0.1,0.13282061215665686,0.9414962712206947,0.09645379778966359,0.06,0.04739334891644982,0.9888896201371445,0.9992942739283903,0.030514392723759547
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,12,60562220,256,1800,121,0.1,0.182468128390759,0.9275660222086568,0.07469744543941254,0.06,0.061157828855309654,0.9887238510639664,0.9991237872714878,0.01805140700195404
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,13,60572220,256,1800,121,0.1,0.14138405258272435,0.8668565700827926,0.07469744543941254,0.06,0.11589273512555044,0.982749305208343,0.9992363357220628,0.01757396546588688
$\mathbb{CP}^{2}$,CP^2,1,projective,4,3,2,True,discontinuous test,0.5,14,60582220,256,1800,121,0.1,0.18284884175513116,0.928044689814425,0.07747557943027467,0.06,0.06055172534797109,0.988596415162396,0.9991622714080317,0.018662673425679767
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,0,60527414,256,1800,121,,0.14091672324147558,0.11782017200422107,2.1495195847628703,2.1495195847628703,0.060019788121775476,0.0696403296401783,0.764109026029819,0.08351576595066659
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,1,60537414,256,1800,121,,0.08939224905364487,0.15026739107797174,2.1495195847628703,2.1495195847628703,0.061016862035811296,0.0659634407866376,0.7641544998000597,0.09660452545144863
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,2,60547414,256,1800,121,,0.10776368153620278,0.12324349956499389,2.1495195847628703,2.1495195847628703,0.05095404150071445,0.06712986432395501,0.7643377182501789,0.0891468356250247
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,3,60557414,256,1800,121,,0.11660415045600458,0.11268033720267956,2.229464131558614,2.229464131558614,0.05904398208139489,0.06819754911378748,0.7633085651763518,0.08937283406117885
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,4,60567414,256,1800,121,,0.11567596407554365,0.10259359329193493,2.229464131558614,2.1495195847628703,0.06734072450901038,0.06594704034955051,0.762521824884328,0.08167133315798891
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,5,60577414,256,1800,121,,0.09683386125273552,0.11816505644343568,2.229464131558614,2.072441704657077,0.05471839338488581,0.06902619213812206,0.7625290733746344,0.08735718730368862
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,6,60587414,256,1800,121,,0.0992970337766943,0.12277670014048953,2.229464131558614,2.1495195847628703,0.05807473539184619,0.06799013905813127,0.7636871622267479,0.09375897268372561
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,7,60597414,256,1800,121,,0.10409469407338157,0.10029005960741666,2.229464131558614,1.9981276977644964,0.07674571285363246,0.06805516991983185,0.7644702949254366,0.09036141887696407
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,8,60607414,256,1800,121,,0.07747774334472476,0.06528639450787327,2.1495195847628703,2.072441704657077,0.06871391781887466,0.0676818792354601,0.7627615792759552,0.07115199960527771
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,9,60617414,256,1800,121,,0.09498566229796884,0.07096931958529029,2.1495195847628703,2.072441704657077,0.06204655741859318,0.06732905983874832,0.7649374900152099,0.07308007834630133
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,10,60627414,256,1800,121,,0.0812360084628802,0.08087762534648002,2.229464131558614,2.1495195847628703,0.05242416010702323,0.06892044655668061,0.7638939732599456,0.08072072909472794
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,11,60637414,256,1800,121,,0.07727747811978308,0.08244826590786852,2.229464131558614,2.1495195847628703,0.07848451998494281,0.06838724871405705,0.7625562551431371,0.07775853525501039
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,12,60647414,256,1800,121,,0.08721250995520205,0.07922399666296295,2.1495195847628703,2.1495195847628703,0.07080852674229565,0.06712893068492225,0.7645775309884235,0.08120795198830152
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,13,60657414,256,1800,121,,0.10438309516694488,0.11056116438804406,2.229464131558614,2.1495195847628703,0.05833276303892765,0.06671267831655399,0.7633829843171263,0.08163122760598926
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.35,14,60667414,256,1800,121,,0.08536554646008893,0.10121469385653048,2.229464131558614,2.1495195847628703,0.05823444720703489,0.06567087502990088,0.761793089966027,0.08875418255340414
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,0,60542414,256,1800,121,,0.11183103425068969,0.10861725740307088,2.229464131558613,2.0724417046570762,0.07252491308880528,0.07039695248115575,0.7639153278512956,0.07495382115979198
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,1,60552414,256,1800,121,,0.10732536868532017,0.09772984186742834,2.14951958476287,2.14951958476287,0.05470937870550876,0.07080782240553919,0.7616300308340866,0.06642582538678064
$\mathbb{T}^{4}$,T^4,2,torus,4,0,4,False,continuous control,0.5,2,60562414,256,1800,121,,0.09367609611267169,0.06933707286814567,2.14951958476287,1.3868593146039079,0.06677746198412654,0.07148242434491738,0.7623149905576229,0.056511278262039985
