family,manifold,dimension,chi_theory,sample,status,defect_count,index_sum,gamma_indexed_sum,remainder,sign_condition,lambda3,lambda5,lambda7,rho,width_theory,width_numerical,discontinuous
Torus,$\mathbb{T}^3$,3,0.0,51,$\chi(M)=0$,8,0.0,0.017186703361414396,0.0017824929704909113,False,-0.035,0.9527197636595016,0.02766044404557848,0.0010559850889731942,0.00032144814423042936,0.00032127041333110016,True
Torus,$\mathbb{T}^3$,3,0.0,56,$\chi(M)=0$,8,0.0,-0.015497846552794875,-0.027391039357599893,False,-0.035,0.7819935307600542,0.010904177109132416,0.028518869498483018,0.0003916272807299852,0.00039125515772540584,True
Torus,$\mathbb{T}^3$,3,0.0,57,$\chi(M)=0$,8,0.0,0.05163530658874527,0.006852284456156668,False,-0.0447830221325886,1.1477281018911958,0.01151636983804882,0.005128036080207789,0.0004368454227145087,0.00043668456168171,True
Torus,$\mathbb{T}^3$,3,0.0,58,$\chi(M)=0$,8,0.0,-0.08193614194535437,-0.12508734832974183,False,-0.043151206384387464,0.9133584865777523,0.014861314050890787,0.0013830334524611372,0.0005096647810775805,0.0005094488693434393,True
Torus,$\mathbb{T}^3$,3,0.0,59,$\chi(M)=0$,8,0.0,-0.01576528152254633,-0.05245231027923715,False,-0.03668702875669082,1.0840234632457386,0.0315059558692478,0.011040978831174142,0.00031040335486934626,0.0003101831219719973,True
Torus,$\mathbb{T}^3$,3,0.0,62,$\chi(M)=0$,8,0.0,0.01880153950490518,-0.06232198245984621,False,-0.0811235219647514,1.0753567163156834,0.024229451769317265,0.014165057776322973,0.00152996343355556,0.0015278503114846307,True
Torus,$\mathbb{T}^3$,3,0.0,64,$\chi(M)=0$,8,0.0,0.053174179506049496,0.0240084287801625,False,-0.035,1.0498352893728435,0.00854805891797541,0.025363114297328394,0.00029171242679692106,0.000291549568667068,True
Torus,$\mathbb{T}^3$,3,0.0,66,$\chi(M)=0$,8,0.0,0.1515327884042724,-0.0207355007074396,False,-0.172268289111712,0.6492834317139455,0.026769937328816978,0.02555055399014005,0.011426582746435645,0.011326789736469653,True
Torus,$\mathbb{T}^3$,3,0.0,68,$\chi(M)=0$,8,0.0,0.05130004638694152,-0.04434483984288717,False,-0.0956448862298287,1.040812406512687,0.020967530663257877,0.01807469021305591,0.002197308613126473,0.0021934388869713313,True
Torus,$\mathbb{T}^3$,3,0.0,70,$\chi(M)=0$,8,0.0,0.05930148638353028,0.018907738452833486,False,-0.04039374793069679,0.870516784717366,0.006489781872879099,0.01334624339075958,0.00046858799868472,0.0004683434908583381,True
Torus,$\mathbb{T}^3$,3,0.0,72,$\chi(M)=0$,8,0.0,0.17872125073667652,-0.011104099068522699,False,-0.18982534980519922,1.599058660925939,0.01100522162583786,0.010004997072850281,0.005633574350518333,0.0056279327328278275,True
Torus,$\mathbb{T}^3$,3,0.0,73,$\chi(M)=0$,8,0.0,0.08009552262296901,0.03679820312182819,False,-0.043297319501140824,1.0640786688066677,0.029397345524610666,0.008816480348315583,0.0004404415601353615,0.0004401153172586323,True
Torus,$\mathbb{T}^3$,3,0.0,78,$\chi(M)=0$,8,0.0,0.07907127986624038,-0.021104931355756112,False,-0.10017621122199649,1.0431547715713134,0.030297699903808508,0.02637647300516987,0.002405029811558508,0.002398640031813072,True
Torus,$\mathbb{T}^3$,3,0.0,81,$\chi(M)=0$,8,0.0,0.17300351887974394,-0.028138755098193722,False,-0.20114227397793766,1.311251349151663,0.019896538598178342,0.00830946807496352,0.007713664967283138,0.007699787993567104,True
Torus,$\mathbb{T}^3$,3,0.0,82,$\chi(M)=0$,8,0.0,0.3184517905826054,0.08053340278062136,False,-0.23791838780198404,1.0312641272091772,0.006459760305420826,0.014784660690487115,0.013722274866546803,0.013689052184010987,True
Torus,$\mathbb{T}^3$,3,0.0,83,$\chi(M)=0$,8,0.0,0.16536096856375748,0.017603621588590634,False,-0.14775734697516685,1.7367820629849837,0.015402531295777613,0.005613932050480697,0.0031426271105680762,0.0031406455930328946,True
Torus,$\mathbb{T}^3$,3,0.0,85,$\chi(M)=0$,8,0.0,0.08651525727305948,0.07042823565265316,False,-0.035,0.7342912718411371,0.01793803791319163,0.0239447047758622,0.00041706882778562676,0.00041657556855030626,True
Torus,$\mathbb{T}^3$,3,0.0,86,$\chi(M)=0$,8,0.0,0.11617939214665879,0.020665781722521707,False,-0.09551361042413709,1.0954498890314708,0.014847297749951612,0.02178383298465422,0.002081987014558852,0.002078765740346933,True
Torus,$\mathbb{T}^3$,3,0.0,87,$\chi(M)=0$,8,0.0,0.07349561506814392,0.06737910599846714,False,-0.035,1.1566789926554326,0.01405098462830498,0.014842224952386822,0.00026476663097073296,0.00026464159495665456,True
Torus,$\mathbb{T}^3$,3,0.0,90,$\chi(M)=0$,8,0.0,0.17585579931124745,0.02441396478046073,False,-0.15144183453078672,1.1292681492506038,0.023011038642149245,0.03259664310102524,0.005077321374305537,0.005059344471018078,True
