distribution,ambient_dimension,delta,epsilon_factor,susceptibility,Kc_numeric,Kc_theory,collapse,manifold_dimension
lorentzian,2,0.2785370741482966,0.001,1.7932998722983613,0.5576312224448898,0.5570741482965931,1.0010000000000003,1
lorentzian,2,0.2808817635270541,0.001,1.7783301173712136,0.5623252905811622,0.5617635270541083,1.0009999999999997,1
lorentzian,2,0.2832264529058116,0.001,1.7636082165905984,0.5670193587174348,0.5664529058116232,1.001,1
lorentzian,2,0.28557114228456915,0.001,1.7491280649175387,0.5717134268537074,0.5711422845691383,1.001,1
lorentzian,2,0.2879158316633267,0.001,1.7348837561825659,0.57640749498998,0.5758316633266534,1.001,1
lorentzian,2,0.2902605210420842,0.001,1.720869575053502,0.5811015631262526,0.5805210420841684,1.0010000000000001,1
lorentzian,2,0.29260521042084164,0.001,1.7070799893894204,0.585795631262525,0.5852104208416834,1.001,1
lorentzian,2,0.2949498997995992,0.001,1.6935096429592964,0.5904896993987976,0.5898997995991984,1.0010000000000001,1
lorentzian,2,0.2972945891783567,0.001,1.680153348505219,0.5951837675350702,0.5945891783567133,1.0010000000000003,1
lorentzian,2,0.29963927855711425,0.001,1.6670060811312815,0.5998778356713428,0.5992785571142286,1.001,1
lorentzian,2,0.3019839679358718,0.001,1.6540629720004594,0.6045719038076153,0.6039679358717436,1.001,1
lorentzian,2,0.3043286573146292,0.001,1.6413193023228585,0.6092659719438877,0.6086573146292584,1.001,1
lorentzian,2,0.30667334669338675,0.001,1.628770497619743,0.6139600400801603,0.6133466933867735,1.001,1
lorentzian,2,0.3090180360721443,0.001,1.6164121222486982,0.6186541082164329,0.6180360721442886,1.001,1
lorentzian,2,0.3113627254509018,0.001,1.6042398741761552,0.6233481763527055,0.6227254509018036,1.0010000000000001,1
lorentzian,2,0.31370741482965936,0.001,1.592249579984344,0.628042244488978,0.6274148296593187,1.0010000000000001,1
lorentzian,2,0.3160521042084168,0.001,1.5804371901004963,0.6327363126252504,0.6321042084168336,1.0010000000000001,1
lorentzian,2,0.3183967935871743,0.001,1.5687987742368408,0.637430380761523,0.6367935871743488,1.001,1
lorentzian,2,0.32074148296593186,0.001,1.5573305170306107,0.6421244488977956,0.6414829659318637,1.0010000000000001,1
lorentzian,2,0.3230861723446894,0.001,1.5460287138738944,0.6468185170340681,0.6461723446893788,1.001,1
lorentzian,2,0.32543086172344693,0.001,1.5348897669237591,0.6515125851703407,0.650861723446894,1.0009999999999997,1
lorentzian,2,0.32777555110220435,0.001,1.5239101812836224,0.6562066533066131,0.6555511022044086,1.0010000000000001,1
lorentzian,2,0.3301202404809619,0.001,1.5130865613473519,0.6609007214428857,0.6602404809619238,1.001,1
lorentzian,2,0.3324649298597194,0.001,1.5024156072980666,0.6655947895791583,0.6649298597194389,1.0010000000000001,1
lorentzian,2,0.33480961923847696,0.001,1.4918941117540507,0.6702888577154309,0.6696192384769539,1.0010000000000001,1
lorentzian,2,0.3371543086172345,0.001,1.4815189565546196,0.6749829258517035,0.674308617234469,1.0010000000000001,1
lorentzian,2,0.3394989979959919,0.001,1.4712871096791764,0.6796769939879759,0.678997995991984,1.001,1
lorentzian,2,0.34184368737474946,0.001,1.4611956222930547,0.6843710621242485,0.6836873747494989,1.0010000000000001,1
lorentzian,2,0.344188376753507,0.001,1.4512416259141152,0.689065130260521,0.688376753507014,1.001,1
lorentzian,2,0.34653306613226453,0.001,1.4414223296943631,0.6937591983967936,0.6930661322645291,1.001,1
lorentzian,2,0.34887775551102207,0.001,1.4317350178111852,0.6984532665330662,0.6977555110220441,1.001,1
lorentzian,2,0.3512224448897796,0.001,1.422177046963079,0.7031473346693388,0.7024448897795592,1.001,1
lorentzian,2,0.35356713426853703,0.001,1.4127458439650245,0.7078414028056111,0.7071342685370742,1.001,1
lorentzian,2,0.35591182364729457,0.001,1.4034389034389034,0.7125354709418837,0.7118236472945891,1.0010000000000001,1
lorentzian,2,0.3582565130260521,0.001,1.3942537855946144,0.7172295390781563,0.7165130260521043,1.001,1
lorentzian,2,0.36060120240480964,0.001,1.3851881140977504,0.7219236072144289,0.7212024048096193,1.0010000000000001,1
lorentzian,2,0.3629458917835672,0.001,1.3762395740199282,0.7266176753507015,0.7258917835671342,1.0010000000000003,1
lorentzian,2,0.3652905811623246,0.001,1.3674059098680562,0.7313117434869738,0.7305811623246492,1.001,1
lorentzian,2,0.36763527054108214,0.001,1.3586849236890122,0.7360058116232464,0.7352705410821645,1.0009999999999997,1
lorentzian,2,0.3699799599198397,0.001,1.350074473246394,0.740699879759519,0.7399599198396793,1.001,1
lorentzian,2,0.3723246492985972,0.001,1.3415724702661567,0.7453939478957916,0.7446492985971944,1.001,1
lorentzian,2,0.37466933867735475,0.001,1.3331768787481237,0.7500880160320642,0.7493386773547095,1.0010000000000001,1
lorentzian,2,0.37701402805611217,0.001,1.3248857133405054,0.7547820841683366,0.7540280561122242,1.0010000000000001,1
lorentzian,2,0.3793587174348697,0.001,1.3166970377746923,0.7594761523046092,0.7587174348697395,1.001,1
lorentzian,2,0.38170340681362724,0.001,1.3086089633577427,0.7641702204408818,0.7634068136272545,1.0010000000000001,1
lorentzian,2,0.3840480961923848,0.001,1.300619647520086,0.7688642885771543,0.7680961923847694,1.0010000000000001,1
lorentzian,2,0.3863927855711423,0.001,1.2927272924161053,0.7735583567134269,0.7727855711422846,1.001,1
lorentzian,2,0.38873747494989974,0.001,1.284930143575365,0.7782524248496993,0.7774749498997996,1.001,1
lorentzian,2,0.3910821643286573,0.001,1.2772264886023534,0.7829464929859719,0.7821643286573146,1.001,1
lorentzian,2,0.3934268537074148,0.001,1.2696146559227244,0.7876405611222445,0.7868537074148296,1.001,1
