label,family,n,k,m,real_dimension,ambient_dimension,chi,kappa_theory,replicate,kappa_numeric,kappa_ratio
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,12,0.32870047662270924,0.9861014298681278
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,13,0.3377292984485442,1.0131878953456328
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,14,0.3336196261924386,1.000858878577316
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,15,0.3336576178181891,1.0009728534545674
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,16,0.334890344950494,1.0046710348514822
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,17,0.32824341709962906,0.9847302512988872
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,18,0.3319487941593879,0.9958463824781637
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,19,0.3365959893359023,1.0097879680077069
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,20,0.3286007563769001,0.9858022691307003
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,21,0.33193153145800186,0.9957945943740056
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,22,0.32985619357983603,0.9895685807395082
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,23,0.3299427512974643,0.9898282538923929
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,24,0.33531762943571825,1.005952888307155
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,25,0.334211105949371,1.002633317848113
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,26,0.3329744343358471,0.9989233030075414
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,27,0.32736681717626614,0.9821004515287984
$\mathbb{CP}^4$,Complex projective space,5,1,4.0,8,24,5,0.3333333333333333,28,0.32986497822183825,0.9895949346655147
