manifold_dimension,chi,delta,seed_index,base_seed,seed,construction_status,conditioned
6,2,0.35,5,186028,186028,axial sign-conditioned skew drift,True
6,2,0.35,6,186029,186029,axial sign-conditioned skew drift,True
6,2,0.35,7,186030,186030,axial sign-conditioned skew drift,True
6,2,0.35,8,186031,186031,axial sign-conditioned skew drift,True
6,2,0.35,9,186032,186032,axial sign-conditioned skew drift,True
6,2,0.35,10,186033,186033,axial sign-conditioned skew drift,True
6,2,0.35,11,186034,186034,axial sign-conditioned skew drift,True
6,2,0.35,12,186035,186035,axial sign-conditioned skew drift,True
6,2,0.35,13,186036,186036,axial sign-conditioned skew drift,True
6,2,0.35,14,186037,186037,axial sign-conditioned skew drift,True
6,2,0.5,0,201023,201023,axial sign-conditioned skew drift,True
6,2,0.5,1,201024,201024,axial sign-conditioned skew drift,True
6,2,0.5,2,201025,201025,axial sign-conditioned skew drift,True
6,2,0.5,3,201026,201026,axial sign-conditioned skew drift,True
6,2,0.5,4,201027,201027,axial sign-conditioned skew drift,True
6,2,0.5,5,201028,201028,axial sign-conditioned skew drift,True
6,2,0.5,6,201029,201029,axial sign-conditioned skew drift,True
6,2,0.5,7,201030,201030,axial sign-conditioned skew drift,True
6,2,0.5,8,201031,201031,axial sign-conditioned skew drift,True
6,2,0.5,9,201032,201032,axial sign-conditioned skew drift,True
6,2,0.5,10,201033,201033,axial sign-conditioned skew drift,True
6,2,0.5,11,201034,201034,axial sign-conditioned skew drift,True
6,2,0.5,12,201035,201035,axial sign-conditioned skew drift,True
6,2,0.5,13,201036,201036,axial sign-conditioned skew drift,True
6,2,0.5,14,201037,201037,axial sign-conditioned skew drift,True
7,0,0.35,0,196023,196023,ordinary random skew drift,False
7,0,0.35,1,196024,196024,ordinary random skew drift,False
7,0,0.35,2,196025,196025,ordinary random skew drift,False
7,0,0.35,3,196026,196026,ordinary random skew drift,False
7,0,0.35,4,196027,196027,ordinary random skew drift,False
7,0,0.35,5,196028,196028,ordinary random skew drift,False
7,0,0.35,6,196029,196029,ordinary random skew drift,False
7,0,0.35,7,196030,196030,ordinary random skew drift,False
7,0,0.35,8,196031,196031,ordinary random skew drift,False
7,0,0.35,9,196032,196032,ordinary random skew drift,False
7,0,0.35,10,196033,196033,ordinary random skew drift,False
7,0,0.35,11,196034,196034,ordinary random skew drift,False
7,0,0.35,12,196035,196035,ordinary random skew drift,False
7,0,0.35,13,196036,196036,ordinary random skew drift,False
7,0,0.35,14,196037,196037,ordinary random skew drift,False
7,0,0.5,0,211023,211023,ordinary random skew drift,False
7,0,0.5,1,211024,211024,ordinary random skew drift,False
7,0,0.5,2,211025,211025,ordinary random skew drift,False
7,0,0.5,3,211026,211026,ordinary random skew drift,False
7,0,0.5,4,211027,211027,ordinary random skew drift,False
7,0,0.5,5,211028,211028,ordinary random skew drift,False
7,0,0.5,6,211029,211029,ordinary random skew drift,False
7,0,0.5,7,211030,211030,ordinary random skew drift,False
7,0,0.5,8,211031,211031,ordinary random skew drift,False
7,0,0.5,9,211032,211032,ordinary random skew drift,False
7,0,0.5,10,211033,211033,ordinary random skew drift,False
7,0,0.5,11,211034,211034,ordinary random skew drift,False
7,0,0.5,12,211035,211035,ordinary random skew drift,False
7,0,0.5,13,211036,211036,ordinary random skew drift,False
7,0,0.5,14,211037,211037,ordinary random skew drift,False
8,2,0.35,0,206023,206023,axial sign-conditioned skew drift,True
8,2,0.35,1,206024,206024,axial sign-conditioned skew drift,True
8,2,0.35,2,206025,206025,axial sign-conditioned skew drift,True
8,2,0.35,3,206026,206026,axial sign-conditioned skew drift,True
8,2,0.35,4,206027,206027,axial sign-conditioned skew drift,True
8,2,0.35,5,206028,206028,axial sign-conditioned skew drift,True
8,2,0.35,6,206029,206029,axial sign-conditioned skew drift,True
8,2,0.35,7,206030,206030,axial sign-conditioned skew drift,True
8,2,0.35,8,206031,206031,axial sign-conditioned skew drift,True
8,2,0.35,9,206032,206032,axial sign-conditioned skew drift,True
8,2,0.35,10,206033,206033,axial sign-conditioned skew drift,True
8,2,0.35,11,206034,206034,axial sign-conditioned skew drift,True
8,2,0.35,12,206035,206035,axial sign-conditioned skew drift,True
8,2,0.35,13,206036,206036,axial sign-conditioned skew drift,True
8,2,0.35,14,206037,206037,axial sign-conditioned skew drift,True
8,2,0.5,0,221023,221023,axial sign-conditioned skew drift,True
8,2,0.5,1,221024,221024,axial sign-conditioned skew drift,True
8,2,0.5,2,221025,221025,axial sign-conditioned skew drift,True
8,2,0.5,3,221026,221026,axial sign-conditioned skew drift,True
8,2,0.5,4,221027,221027,axial sign-conditioned skew drift,True
8,2,0.5,5,221028,221028,axial sign-conditioned skew drift,True
8,2,0.5,6,221029,221029,axial sign-conditioned skew drift,True
8,2,0.5,7,221030,221030,axial sign-conditioned skew drift,True
8,2,0.5,8,221031,221031,axial sign-conditioned skew drift,True
8,2,0.5,9,221032,221032,axial sign-conditioned skew drift,True
8,2,0.5,10,221033,221033,axial sign-conditioned skew drift,True
8,2,0.5,11,221034,221034,axial sign-conditioned skew drift,True
8,2,0.5,12,221035,221035,axial sign-conditioned skew drift,True
8,2,0.5,13,221036,221036,axial sign-conditioned skew drift,True
8,2,0.5,14,221037,221037,axial sign-conditioned skew drift,True
9,0,0.35,0,216023,216023,ordinary random skew drift,False
9,0,0.35,1,216024,216024,ordinary random skew drift,False
9,0,0.35,2,216025,216025,ordinary random skew drift,False
9,0,0.35,3,216026,216026,ordinary random skew drift,False
9,0,0.35,4,216027,216027,ordinary random skew drift,False
9,0,0.35,5,216028,216028,ordinary random skew drift,False
9,0,0.35,6,216029,216029,ordinary random skew drift,False
9,0,0.35,7,216030,216030,ordinary random skew drift,False
9,0,0.35,8,216031,216031,ordinary random skew drift,False
9,0,0.35,9,216032,216032,ordinary random skew drift,False
9,0,0.35,10,216033,216033,ordinary random skew drift,False
9,0,0.35,11,216034,216034,ordinary random skew drift,False
9,0,0.35,12,216035,216035,ordinary random skew drift,False
9,0,0.35,13,216036,216036,ordinary random skew drift,False
9,0,0.35,14,216037,216037,ordinary random skew drift,False
9,0,0.5,0,231023,231023,ordinary random skew drift,False
9,0,0.5,1,231024,231024,ordinary random skew drift,False
9,0,0.5,2,231025,231025,ordinary random skew drift,False
9,0,0.5,3,231026,231026,ordinary random skew drift,False
9,0,0.5,4,231027,231027,ordinary random skew drift,False
9,0,0.5,5,231028,231028,ordinary random skew drift,False
9,0,0.5,6,231029,231029,ordinary random skew drift,False
9,0,0.5,7,231030,231030,ordinary random skew drift,False
9,0,0.5,8,231031,231031,ordinary random skew drift,False
9,0,0.5,9,231032,231032,ordinary random skew drift,False
9,0,0.5,10,231033,231033,ordinary random skew drift,False
9,0,0.5,11,231034,231034,ordinary random skew drift,False
9,0,0.5,12,231035,231035,ordinary random skew drift,False
9,0,0.5,13,231036,231036,ordinary random skew drift,False
9,0,0.5,14,231037,231037,ordinary random skew drift,False
10,2,0.35,0,226023,226023,axial sign-conditioned skew drift,True
10,2,0.35,1,226024,226024,axial sign-conditioned skew drift,True
10,2,0.35,2,226025,226025,axial sign-conditioned skew drift,True
10,2,0.35,3,226026,226026,axial sign-conditioned skew drift,True
10,2,0.35,4,226027,226027,axial sign-conditioned skew drift,True
